퍼블리싱,아티스트,Nation,Artist,Artist Native,음반,Album,규모,해외,트랙,음원,ver.,feat.,Track,Track Native,장르,속도,비트,전자,보컬,성별,행위,가사,종교,공간,시대,시간,스타일,명암,대중,음량,백엔드,빅데이터,행정,디자이너,,시간,청음,dB(R) 1.0,dB(R) 1.1,기획사,작곡,편곡,작사,실연,가사,음반 관리번호,음원 관리번호,비디오 관리번호,ISRC,UCI,바코드
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,7,이 세상 험하고,,,I Hear the Savior Say,,종교,2,1.5,1,1,-,-,-,-,1,고서,2,일반,3,3,3.5,2,0,2,0,2,3:02,47.38,47.54,,엔하모닉뮤직,J. T. Grape,이선행,,이선행,,KEI-0003,KEI-0003-07,,KRMIM2001468,uci:i500-1000006248024.100049348358-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,8,아 하나님의 은혜로,,,I Know not Why God's Wonderous Grace,,종교,2,1.5,1,1,-,-,-,-,1,고서,2,일반,3,3,3.5,2,0,2,0,2,3:34,48.81,49.04,,엔하모닉뮤직,J. Mcgranahan,이선행,,이선행,,KEI-0003,KEI-0003-08,,KRMIM2001469,uci:i500-1000006248024.100049348359-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,9,내 영혼에 햇빛 비치니,,,There's sunshine in my soul today,,종교,2,1.5,1,1,-,-,-,-,1,고서,1,일반,3,3,3.5,0,2,2,0,1,3:20,45.01,45.39,,엔하모닉뮤직,J. R. Sweney,이선행,,이선행,,KEI-0003,KEI-0003-09,,KRMIM2001470,uci:i500-1000006248024.100049348360-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,10,오 신실 하신 주,,,Great is Thy faithfulness,,종교,2,2,1,1,,-,-,-,1,현대,1.5,일반,3,3,4,0,2,1,0,1,3:42,49.24,49.41,,엔하모닉뮤직,W. M. Runyan,이선행,,이선행,,KEI-0003,KEI-0003-10,,KRMIM2001471,uci:i500-1000006248024.100049348361-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,11,내 평생 가는 길,,,When Peace Like a River Attendeth my Way,,종교,1.5,1.5,1,1,-,-,-,-,1,고서,1.5,일반,3,3,3.5,2,0,2,0,1,4:46,49.81,50.16,,엔하모닉뮤직,P. P. Bliss,이선행,,이선행,,KEI-0003,KEI-0003-11,,KRMIM2001472,uci:i500-1000006248024.100049348362-1,
2020-02-01,이선행,,Lee Sun-Hang,,예수 나의 구주,Jesus My Savior,정규,FALSE,12,천부여 의지 없어서,,,"Father, I Strech my Hands to Thee",,종교,1.5,1.5,1,1,-,-,-,-,1,고서,1,일반,3,3,3.5,2,0,2,0,2,2:51,49.1,49.02,,엔하모닉뮤직,W. Shield,이선행,,이선행,,KEI-0003,KEI-0003-12,,KRMIM2001473,uci:i500-1000006248024.100049348363-1,
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,1,Now and For ever,,,Now and For ever,,재즈,3.5,3,1,1,-,-,-,-,3,현대,3.5,재즈,2.5,3,4,2,2,3,0,3,4:33,53.55,53.64,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-01,,KRMIM2020485,uci:i500-1000006525571.100051787138-1,8809990091126
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,2,Begin Renewed Day ,,,Begin Renewed Day ,,재즈,3,3.5,1,1,-,-,-,-,3,현대,3.5,재즈,2.5,3,4,3,2,3,0,2,7:58,57.12,57.06,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-02,,KRMIM2020486,uci:i500-1000006525571.100051787139-1,8809990091126
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,3,The Seasons and The Times ,,,The Seasons and The Times ,,재즈,3,3.5,1,1,-,-,-,-,2.5,현대,3.5,재즈,3.5,3,4,2,0,3,0,2,6:08,54.28,54.46,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-03,,KRMIM2020487,uci:i500-1000006525571.100051787140-1,8809990091126
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,4,First and Last Blues ,,,First and Last Blues ,,재즈,4,4,1,1,-,-,-,-,3,현대,4,재즈,3,2.5,4,2,0,3,0,1,4:38,56.65,56.59,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-04,,KRMIM2020488,uci:i500-1000006525571.100051787141-1,8809990091126
